"id","lat","long","depth","mag","stations"
""109","-22.55,Error,42,5.7,76
""869","-21.14,174.21,40,5.7,78
""570","-34.68,179.82,75,5.6,79
""17","-13.64,165.96,50,6,83
""176","-32.22,Error,216,5.7,90
""15","-20.7,169.92,139,6.1,94
""653","-11.4,166.07,93,5.6,94
""167","-26,Error,205,5.6,98
""605","-19.89,174.46,546,5.7,99
""275","-22.13,Error,577,5.7,104
""151","-23.34,Error,56,5.7,106
""712","-15.93,167.91,183,5.6,109
""399","-17.84,Error,535,5.7,112
""920","-17.85,Error,589,5.6,115
""558","-22.91,Error,64,5.9,118
""753","-21.08,Error,627,5.9,119
""1000","-21.59,170.56,165,6,119
""935","-20.25,Error,107,5.6,121
""152","-15.56,167.62,127,6.4,122
""376","-15.33,Error,48,5.7,123
""636","-18.82,Error,417,5.6,129
""870","-12.23,167.02,242,6,132
